, ,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,Unnamed: 11,Trajectory,time[s],distance,distance normalized,time aligned [s]
5,6,5,122.71906000000001,225.75142999999997,0,2.45433,2.11095,5.6799,17.77003,62.2625,0.00765,,69,0.685,0.0,0.0,-13.426
6,7,6,122.62808999999999,225.54369,0,2.3298099999999997,2.08108,5.51964,17.01074,58.702040000000004,0.00761,,69,0.8220000000000001,14.741026759099007,0.01464573494331368,-13.289000000000001
7,8,7,123.1909,226.74895,0,2.72129,2.62963,8.35099,29.540940000000003,112.48253999999999,0.00735,,69,0.9590000000000001,71.72652472830575,0.13794084375852775,-13.152000000000001
8,9,8,122.73273999999999,225.87331,0,2.04448,2.19163,6.12867,19.89705,72.0013,0.0071,,69,1.096,7.9719464047390245,0.0,-13.015
9,10,9,123.23058,226.04214,0,2.47644,2.31366,6.764480000000001,22.671210000000002,83.57159,0.01403,,69,1.233,38.243263279465346,0.06549570401343222,-12.878
10,11,10,123.09798,225.8847,0,2.96995,2.28858,6.712039999999999,22.774279999999997,85.46638,0.00759,,69,1.37,26.108749884713422,0.039241197117062324,-12.741
11,12,11,123.0525,226.41797000000003,0,3.07087,2.35248,6.92955,23.2953,85.87325,0.00735,,69,1.5070000000000001,48.443877084418574,0.08756598213477634,-12.604000000000001
12,13,12,123.05061,226.48514,0,2.6165,2.439,7.372039999999999,25.30025,94.90689,0.00831,,69,1.6440000000000001,52.334315834690806,0.09598342317061567,-12.467
13,14,13,122.92908999999999,225.6508,0,2.94202,2.07377,5.56166,17.58624,62.960480000000004,0.00962,,69,1.7810000000000001,15.138023837506903,0.015504686777130653,-12.33
14,15,14,123.58216000000002,225.91922000000002,0,3.4462599999999997,2.2886,6.55213,21.422279999999997,77.08906999999999,0.00759,,69,1.9180000000000001,57.15178713367236,0.10640661273970684,-12.193000000000001
15,16,15,123.57551000000001,225.91757,0,3.2101,2.26408,6.48958,21.450229999999998,78.56096,0.01183,,69,2.055,56.70701858123493,0.10544430146710919,-12.056000000000001
16,17,16,122.85193000000001,225.80739,0,3.5669199999999996,2.0834200000000003,5.52808,17.08778,59.44661,0.007679999999999999,,69,2.192,9.37126857274454,0.0030276050068915985,-11.919
17,18,17,122.99843999999999,225.42538,0,3.36806,2.24791,6.29071,20.11959,71.04065,0.008709999999999999,,69,2.329,27.909291457369314,0.043136889478071185,-11.782
18,19,18,123.36916000000001,225.83299,0,3.56155,2.33885,6.78263,22.3367,80.58583,0.010579999999999999,,69,2.466,42.587752161977136,0.07489553815729161,-11.645
19,20,19,123.66077,225.6109,0,3.25051,2.18527,6.02148,19.10214,67.33479,0.00944,,69,2.603,61.88895750555887,0.11665606141160526,-11.508000000000001
20,21,20,123.67841000000001,225.3535,0,3.33797,2.23009,6.27237,20.282770000000003,72.59473,0.01181,,69,2.74,67.50933630813532,0.12881643976647797,-11.371
21,22,21,123.3517,225.21272000000002,0,4.06227,1.9978,4.883319999999999,13.35014,39.63565,0.01141,,69,2.8770000000000002,54.01033926372042,0.09960970526734701,-11.234
22,23,22,123.73132,225.04077,0,3.7674300000000005,2.1028700000000002,5.62483,17.455170000000003,60.59394,0.00743,,69,3.0140000000000002,80.39288563063046,0.15669157769194775,-11.097000000000001
23,24,23,123.03902,224.96438999999998,0,3.31526,1.9528599999999998,4.71859,12.8708,38.44427,0.0201,,69,3.1510000000000002,55.223472224407296,0.102234467105456,-10.96
24,25,24,123.3315,224.66481000000002,0,3.53346,1.99436,4.9713400000000005,14.13589,44.494,0.00718,,69,3.2880000000000003,81.0762845229697,0.15817019495068776,-10.823
25,26,25,123.64518999999999,224.55154,0,3.1369700000000003,2.0063400000000002,5.16066,15.502270000000001,52.51635,0.00873,,69,3.4250000000000003,98.5227792620803,0.19591782450487846,-10.686
26,27,26,123.33291000000001,224.49322999999998,0,3.47086,2.11572,5.71992,17.939339999999998,62.77646,0.00715,,69,3.5620000000000003,90.99719247901207,0.17963529518806653,-10.549
27,28,27,123.22492,224.7813,0,3.0662599999999998,2.14685,5.8331,18.262520000000002,63.50611,0.016319999999999998,,69,3.6990000000000003,71.11625483117271,0.13662045004337015,-10.412
28,29,28,123.02346000000001,225.4474,0,3.18298,1.9347299999999998,4.70059,13.1509,41.29871,0.01139,,69,3.8360000000000003,27.964628797866414,0.04325661859620263,-10.275
29,30,29,123.08962,225.09166000000002,0,2.92956,1.99089,5.04335,14.81431,48.84571,0.007559999999999999,,69,3.9730000000000003,49.18619906500379,0.08917208671636018,-10.138
30,31,30,123.17421000000002,225.52791000000002,0,3.32801,2.0038,5.0513,14.66509,47.61347,0.01057,,69,4.11,32.95972484718918,0.05406412108177351,-10.001000000000001
31,32,31,122.74786999999999,225.06151,0,3.02941,1.9829299999999999,5.05835,15.165679999999998,51.59687,0.01299,,69,4.247,44.883882464224655,0.07986349747252823,-9.864
32,33,32,123.09888000000001,224.97507000000002,0,3.00294,1.964,4.89275,14.102979999999999,45.58364,0.00825,,69,4.384,56.17888301176594,0.10430161543597104,-9.727
33,34,33,123.31828,225.63927999999999,0,3.0698,2.09871,5.6159300000000005,17.406670000000002,60.18975,0.00758,,69,4.521000000000001,39.625603156954305,0.06848656575349649,-9.59
34,35,34,123.23592,225.7469,0,2.8846,2.05422,5.3727,16.314339999999998,55.561440000000005,0.009009999999999999,,69,4.658,33.59719032318641,0.05544335576480624,-9.453
35,36,35,123.09435,225.38596,0,3.22053,2.02799,5.2171199999999995,15.60219,52.58786,0.00774,,69,4.795,34.04975878952523,0.05642254310706183,-9.316
36,37,36,123.41145,225.92147999999997,0,3.3642,2.16273,5.91145,18.65444,65.53001,0.00944,,69,4.932,46.34280811717111,0.08302006192390042,-9.179
37,38,37,123.17387,225.41828999999998,0,3.61668,2.05078,5.2279800000000005,15.175770000000002,48.71566,0.015519999999999999,,69,5.069000000000001,36.64492218346747,0.062037497164711235,-9.042
38,39,38,123.17521,225.90271,0,3.05947,1.99895,5.04093,14.657960000000001,47.66357,0.00836,,69,5.206,31.237789571327394,0.0503385030776129,-8.905000000000001
39,40,39,123.20532,225.63385,0,3.20168,1.9914,5.02113,14.676479999999998,48.250370000000004,0.013380000000000001,,69,5.343,32.51779498828177,0.05310795167052919,-8.768
40,41,40,122.97428000000001,225.45529,0,3.43755,1.89242,4.49621,12.28561,37.6852,0.009770000000000001,,69,5.48,25.41127161910512,0.037732117408732106,-8.631
41,42,41,123.21548,225.76963999999998,0,3.6907,1.9937900000000002,4.95696,14.04745,44.064370000000004,0.013340000000000001,,69,5.617000000000001,32.28900240968191,0.05261293088664789,-8.494
42,43,42,123.24448999999998,225.48802,0,3.5988300000000004,2.03203,5.1803300000000005,15.176060000000001,49.57695,0.007409999999999999,,69,5.7540000000000004,38.20438315723467,0.06541158210396378,-8.357
43,44,43,123.24058000000001,225.55752999999999,0,4.15634,1.94409,4.7262,13.138689999999999,40.6431,0.01013,,69,5.891,36.165962640166995,0.061001209493043815,-8.22
44,45,44,123.13943,225.58699,0,4.0286599999999995,1.9365,4.65095,12.67228,38.1546,0.00824,,69,6.0280000000000005,29.340243324867775,0.046232929216249725,-8.083
45,46,45,122.93591,225.31302999999997,0,4.15192,1.92344,4.59569,12.48315,37.58812,0.01223,,69,6.165000000000001,31.791478238082824,0.051536476366435456,-7.946
46,47,46,123.10603,225.74177999999998,0,3.8763099999999997,1.99584,5.01725,14.510810000000001,46.82138,0.00757,,69,6.3020000000000005,25.160869755733206,0.03719034228888222,-7.809
47,48,47,122.91988,225.20935,0,3.9327199999999998,1.9301400000000002,4.60538,12.44379,37.128809999999994,0.01381,,69,6.439,37.57536373649431,0.06405062149660058,-7.672000000000001
48,49,48,123.00652,225.33926,0,3.8788,1.95482,4.83255,13.854820000000002,44.8639,0.00953,,69,6.5760000000000005,32.663218581645744,0.05342259343741871,-7.535
49,50,49,122.86823000000001,225.5744,0,3.72229,2.01167,5.13341,15.22609,50.88908,0.00742,,69,6.713000000000001,15.047368005899171,0.015308541774960997,-7.398
50,51,50,123.41713999999999,225.58575,0,3.8087,2.16234,5.95273,18.99455,67.5803,0.007090000000000001,,69,6.8500000000000005,46.63565635519491,0.08365367497740044,-7.261
51,52,51,123.16367,225.90297999999999,0,3.90343,2.09896,5.54764,16.8726,57.10649,0.007259999999999999,,69,6.987,30.532393382847587,0.0488122919727551,-7.1240000000000006
52,53,52,122.90775,225.72144,0,3.71918,1.91736,4.63126,12.92868,40.692609999999995,0.00895,,69,7.1240000000000006,12.418796678622293,0.009621305559173553,-6.987
53,54,53,123.07198999999999,225.42553999999998,0,3.8027300000000004,1.9981400000000002,5.05063,14.80057,48.812470000000005,0.014119999999999999,,69,7.261000000000001,31.224627785209563,0.050310025940280924,-6.85
54,55,54,123.12456,225.42119,0,4.03449,1.95134,4.69721,12.757489999999999,38.05288,0.00894,,69,7.398000000000001,33.99249607795659,0.056298648212649835,-6.713
55,56,55,123.21406,225.86097999999998,0,4.11977,2.17255,5.95383,18.78988,65.85871,0.00845,,69,7.535,32.953538589390845,0.05405073635485901,-6.5760000000000005
56,57,56,123.16103999999999,225.29947,0,4.32735,2.00085,4.99288,14.2457,45.211420000000004,0.00774,,69,7.672000000000001,41.089777736679636,0.07165448690124633,-6.439
57,58,57,123.04331,225.4861,0,4.0564,1.95718,4.7937199999999995,13.48305,42.45581,0.007370000000000001,,69,7.809000000000001,27.23322147056657,0.0416741292046664,-6.302
58,59,58,123.28273,225.55152999999999,0,4.89125,2.05346,5.3074699999999995,15.78686,52.36358,0.00915,,69,7.946000000000001,38.874341002162545,0.06686111800933787,-6.165
59,60,59,122.96341000000001,225.56677000000002,0,4.40062,1.9774599999999998,4.923109999999999,14.109079999999999,45.21409,0.010879999999999999,,69,8.083,19.908072633291702,0.025825271948606596,-6.0280000000000005
60,61,60,123.08588,225.4922,0,4.7543,2.01358,5.06139,14.52481,46.22095,0.01568,,69,8.22,29.196297194891198,0.04592148412247198,-5.891
61,62,61,123.14368,225.55449,0,4.94347,1.9725099999999998,4.845219999999999,13.57686,42.2476,0.00907,,69,8.357000000000001,30.424409958123064,0.048578656599263345,-5.754
62,63,62,123.14043000000001,225.56357999999997,0,5.04022,2.06528,5.24736,15.058079999999999,47.44143,0.00836,,69,8.494,29.987501812671585,0.047633352280525926,-5.617000000000001
63,64,63,123.21533000000001,225.48236,0,4.22085,2.10758,5.64562,17.51033,60.6354,0.00777,,69,8.631,36.69378545755283,0.06214321884672017,-5.48
64,65,64,123.00939,225.43622000000002,0,4.89679,2.01903,5.09657,14.744129999999998,47.50763,0.01086,,69,8.768,27.855276051851064,0.043020020528278566,-5.343
65,66,65,123.08801000000001,225.47285,0,4.94661,2.09515,5.5288900000000005,16.815620000000003,57.044619999999995,0.011559999999999999,,69,8.905000000000001,30.05017691050153,0.04776895753593886,-5.2059999999999995
66,67,66,123.02483000000001,225.22667,0,4.4972,1.96328,4.821940000000001,13.5406,42.30611,0.007520000000000001,,69,9.042000000000002,39.47744648355947,0.06816601063300272,-5.068999999999999
67,68,67,122.88658999999998,225.39424,0,5.37023,2.04468,5.21085,15.16857,48.95197,0.00944,,69,9.179,25.644209138222248,0.03823610627941306,-4.932
68,69,68,123.13264,225.545,0,5.5785599999999995,2.06271,5.24794,15.09113,47.6185,0.012740000000000001,,69,9.316,30.045314801020265,0.04775843776619168,-4.795
69,70,69,123.21301000000001,225.54912000000002,0,4.8470699999999995,2.04648,5.22792,15.25138,49.295790000000004,0.007559999999999999,,69,9.453000000000001,34.69538644524534,0.05781943766625543,-4.6579999999999995
70,71,70,123.1004,225.53772999999998,0,4.90156,2.0152900000000002,5.01609,14.12711,43.756209999999996,0.01426,,69,9.59,28.41384023077338,0.04422854258520123,-4.521000000000001
71,72,71,123.18088999999999,225.43672,0,5.10896,2.00182,4.99911,14.27616,45.36095,0.01376,,69,9.727,36.32618108093409,0.061347861725498776,-4.384
72,73,72,122.96591000000001,225.39876,0,4.7669,1.9869900000000003,4.98569,14.446629999999999,46.92245,0.01495,,69,9.864,27.981050590799345,0.043292149157815006,-4.247
73,74,73,123.13081000000001,225.60277000000002,0,4.97232,1.98643,4.9001,13.71715,42.35644,0.01022,,69,10.001000000000001,28.454699971576392,0.04431694764206659,-4.109999999999999
74,75,74,123.01418000000001,225.37515,0,5.27227,2.00496,5.00665,14.2647,45.10298,0.00735,,69,10.138000000000002,31.083490201068624,0.050004657479624896,-3.972999999999999
75,76,75,122.96144,225.5405,0,5.0237,1.9710400000000001,4.91907,14.232429999999999,46.381159999999994,0.009559999999999999,,69,10.275,20.885090646018217,0.027939170159316865,-3.8360000000000003
76,77,76,123.21327,225.42102000000003,0,5.38433,2.08285,5.3852199999999995,15.83121,51.32078,0.00775,,69,10.412,38.64162761252124,0.06635761407024646,-3.699
77,78,77,123.16672,225.65862,0,4.59647,2.11369,5.63469,17.30305,59.14187,0.007409999999999999,,69,10.549000000000001,29.71667293679441,0.047047380815652136,-3.5619999999999994
78,79,78,122.88023000000001,225.45227000000003,0,4.31077,1.9282299999999999,4.62517,12.64354,38.40699,0.01239,,69,10.686,22.087806698772866,0.030541393740451842,-3.4250000000000007
79,80,79,123.07915,225.20073,0,5.28665,2.01878,5.05989,14.39509,45.12103,0.0127,,69,10.823,42.768582329466476,0.07528678638661689,-3.2880000000000003
80,81,80,123.08163,225.35109,0,5.16167,2.02787,5.1570800000000006,15.023579999999999,48.61466,0.00788,,69,10.96,35.10777028112688,0.058711680635618005,-3.151
81,82,81,122.91045,225.08888,0,4.56114,1.8830200000000001,4.51765,12.5967,39.647420000000004,0.011909999999999999,,69,11.097000000000001,44.82656724739105,0.0797394889765406,-3.0139999999999993
82,83,82,123.04356000000001,224.73085,0,4.19474,1.8800299999999999,4.34863,11.2716,31.832359999999998,0.010459999999999999,,69,11.234000000000002,69.61022911569619,0.13336197883428239,-2.876999999999999
83,84,83,122.89621000000001,225.06207,0,4.86699,1.9268599999999998,4.64325,12.773439999999999,38.981770000000004,0.00817,,69,11.371,46.264264590743174,0.08285012337843231,-2.74
84,85,84,122.91033,225.16875,0,5.05315,1.9779,4.864240000000001,13.627379999999999,42.34105,0.01975,,69,11.508000000000001,39.86255542664561,0.06899924102907956,-2.6029999999999998
